Courses offered data for 2022-23 semester 02,,,,,,,,,,,,,,,
Slno,Course Code,Course Name,Course Category,Course Type,Department,Credits,Lectures,Tutorial,Practical,Course cordinator Id,Course cordinator Name,Course Instructor Id,Course Instructor Name,Semester/Batch,Students registered
132,CSC040U4E,BigData and Application,Open Category,THEORY / PRACTICAL,CS,3,2,0,2,,,,,2019-20_2020-21_2021-22_2022-23,16
133,CSY053U3E,Research and Development Project (RDP),Departmental Elective,THEORY / PRACTICAL,CS,3,0,0,6,IITJMU11024,Vinit Jakhetiya,,,2019-20_2020-21_2021-22_2022-23,1
134,CSY402U4M,BTP-II,Departmental Core,PRACTICAL,CS,5,0,0,10,IITJMU11059,Subhasis Bhattacharjee,,,2019-20_2020-21_2021-22_2022-23,37
135,EEL033P2E,Advanced Engineering Electromagnetics,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11004,Kushmanda Saurav,,,2019-20_2020-21_2021-22_2022-23,3
136,EEL001P1M,Signal Theory,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11064,Ankur Bansal,,,2019-20_2020-21_2021-22_2022-23,5
137,EEL004P4M,Digital Communications,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11034,Ankit Dubey,,,2019-20_2020-21_2021-22_2022-23,3
138,EEP004P4M,Digital Communications Lab,Departmental Practical,PRACTICAL,EE,2,0,0,4,IITJMU11034,Ankit Dubey,,,2019-20_2020-21_2021-22_2022-23,2
139,EEL085P1E,Analog and Mixed Signal VLSI Circuits,Departmental Elective,THEORY,EE,3,3,0,0,IITJMU11071,Ambika Prasad Shah,,,2019-20_2020-21_2021-22_2022-23,20
140,CHD003U2M,Fluid Flow and Mechanical Operations,Departmental Core,THEORY,CH,3,3,1,0,IITJMU11070,Ravi Kumar Arun,,,2019-20_2020-21_2021-22_2022-23,33
141,MAD038P6E,Analysis on Manifolds,Departmental Elective,THEORY,MA,3,3,1,0,IITJMU11074,Manmohan Vashisth,,,2019-20_2020-21_2021-22_2022-23,2
142,MAD040P6E,Functional Analysis,Departmental Elective,THEORY,MA,3,3,1,0,IITJMU11102,Arvind Kumar,IITJMU11074,Manmohan Vashisth,2019-20_2020-21_2021-22_2022-23,2
